2014/1/1:New Year's Day
2014/1/13:Coming-of-Age Day
2014/2/11:National Foundation Day
2014/3/21:Vernal Equinox Day
2014/4/29:Showa Day
2014/5/3:Constitution Day
2014/5/4:Greenery Day
2014/5/5:Children’s Day
2014/5/6:substitute holiday
2014/7/21:Marine Day
2014/9/15:Respect-for-the-Aged Day
2014/9/23:Autumnal Equinox Day
2014/10/13:Health-Sports Day
2014/11/3:Culture Day
2014/11/23:Labor Thanksgiving Day
2014/11/24:substitute holiday
2014/12/23:the Emperor’s Birthday
2015/1/1:New Year's Day
2015/1/12:Coming-of-Age Day
2015/2/11:National Foundation Day
2015/3/21:Vernal Equinox Day
2015/4/29:Showa Day
2015/5/3:Constitution Day
2015/5/4:Greenery Day
2015/5/5:Children’s Day
2015/5/6:substitute holiday
2015/7/20:Marine Day
2015/9/21:Respect-for-the-Aged Day
2015/9/22:National holiday
2015/9/23:Autumnal Equinox Day
2015/10/12:Health-Sports Day
2015/11/3:Culture Day
2015/11/23:Labor Thanksgiving Day
2015/12/23:the Emperor’s Birthday
2016/1/1:New Year's Day
2016/1/11:Coming-of-Age Day
2016/2/11:National Foundation Day
2016/3/20:Vernal Equinox Day
2016/3/21:substitute holiday
2016/4/29:Showa Day
2016/5/3:Constitution Day
2016/5/4:Greenery Day
2016/5/5:Children’s Day
2016/7/18:Marine Day
2016/8/11:Mountain Day
2016/9/19:Respect-for-the-Aged Day
2016/9/22:Autumnal Equinox Day
2016/10/10:Health-Sports Day
2016/11/3:Culture Day
2016/11/23:Labor Thanksgiving Day
2016/12/23:the Emperor’s Birthday
2017/1/1:New Year's Day
2017/1/2:substitute holiday
2017/1/9:Coming-of-Age Day
2017/2/11:National Foundation Day
2017/3/20:Vernal Equinox Day
2017/4/29:Showa Day
2017/5/3:Constitution Day
2017/5/4:Greenery Day
2017/5/5:Children’s Day
2017/7/17:Marine Day
2016/8/11:Mountain Day
2017/9/18:Respect-for-the-Aged Day
2017/9/23:Autumnal Equinox Day
2017/10/9:Health-Sports Day
2017/11/3:Culture Day
2017/11/23:Labor Thanksgiving Day
2017/12/23:the Emperor’s Birthday
2018/1/1:New Year's Day
2018/1/8:Coming-of-Age Day
2018/2/11:National Foundation Day
2018/2/12:substitute holiday
2018/3/21:Vernal Equinox Day
2018/4/29:Showa Day
2018/4/30:substitute holiday
2018/5/3:Constitution Day
2018/5/4:Greenery Day
2018/5/5:Children’s Day
2018/7/16:Marine Day
2018/8/11:Mountain Day
2018/9/17:Respect-for-the-Aged Day
2018/9/23:Autumnal Equinox Day
2018/9/24:substitute holiday
2018/10/8:Health-Sports Day
2018/11/3:Culture Day
2018/11/23:Labor Thanksgiving Day
2018/12/23:the Emperor’s Birthday
2018/12/24:substitute holiday
2019/1/1:New Year's Day
2019/1/14:Coming-of-Age Day
2019/2/11:National Foundation Day
2019/3/21:Vernal Equinox Day
2019/4/29:Showa Day
2019/5/3:Constitution Day
2019/5/4:Greenery Day
2019/5/5:Children’s Day
2019/5/6:substitute holiday
2019/7/15:Marine Day
2019/8/11:Mountain Day
2019/9/16:Respect-for-the-Aged Day
2019/9/23:Autumnal Equinox Day
2019/10/14:Health-Sports Day
2019/11/3:Culture Day
2019/11/4:substitute holiday
2019/11/23:Labor Thanksgiving Day
2019/12/23:the Emperor’s Birthday
2020/1/1:New Year's Day
2020/1/13:Coming-of-Age Day
2020/2/11:National Foundation Day
2020/3/20:Vernal Equinox Day
2020/4/29:Showa Day
2020/5/3:Constitution Day
2020/5/4:Greenery Day
2020/5/5:Children’s Day
2020/5/6:substitute holiday
2020/7/20:Marine Day
2020/8/11:Mountain Day
2020/9/21:Respect-for-the-Aged Day
2020/9/22:Autumnal Equinox Day
2020/10/12:Health-Sports Day
2020/11/3:Culture Day
2020/11/23:Labor Thanksgiving Day
2020/12/23:the Emperor’s Birthday
2021/1/1:New Year's Day
2021/1/11:Coming-of-Age Day
2021/2/11:National Foundation Day
2021/3/20:Vernal Equinox Day
2021/4/29:Showa Day
2021/5/3:Constitution Day
2021/5/4:Greenery Day
2021/5/5:Children’s Day
2021/7/19:Marine Day
2021/8/11:Mountain Day
2021/9/20:Respect-for-the-Aged Day
2021/9/23:Autumnal Equinox Day
2021/10/11:Health-Sports Day
2021/11/3:Culture Day
2021/11/23:Labor Thanksgiving Day
2021/12/23:the Emperor’s Birthday
